SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Townhouse,2115 201st Place SE Unit E6,Bothell,WA,98012,499900,3,2.75,Thrashers Corner,1937,155762,2007,2,258,192,Active,April-21-2018 02:00 PM,April-21-2018 04:00 PM,http://www.redfin.com/WA/Bothell/2115-201st-Pl-SE-98012/unit-E6/home/18606217,NWMLS,1275156,N,Y,47.8150787,-122.2044451
PAST SALE,August-14-2015,Single Family Residential,17419 3rd Ave SE,Bothell,WA,98012,699500,5,3.25,North Creek,3258,3485,2015,2,215,60,Pending,,,http://www.redfin.com/WA/Bothell/17419-3rd-Ave-SE-98012/home/67343200,NWMLS,1274354,N,Y,47.8396514,-122.2273341
PAST SALE,February-27-2017,Single Family Residential,17513 39th Ave SE,Bothell,WA,98012,698900,3,2.5,Bothell,2137,3200,2016,14,327,54,Pending,,,http://www.redfin.com/WA/Bothell/17513-39th-Ave-SE-98012/home/108497883,NWMLS,1269088,N,Y,47.8387478,-122.1796469
MLS Listing,,Condo/Co-op,14915 38th Dr SE #2034,Bothell,WA,98012,325000,2,1.75,Mill Creek,1474,399159,2007,14,220,299,Active,,,http://www.redfin.com/WA/Bothell/14915-38th-Dr-SE-98012/unit-2034/home/28446769,NWMLS,1269325,N,Y,47.8622783,-122.1798301
PAST SALE,October-24-2014,Single Family Residential,3808 134th Place SE,Mill Creek,WA,98012,599000,3,2.5,Mill Creek,2167,3485,2014,15,276,,Pending,,,http://www.redfin.com/WA/Mill-Creek/3808-134th-Pl-SE-98012/home/56329935,NWMLS,1268982,N,Y,47.8758251,-122.1809168
PAST SALE,June-7-1996,Single Family Residential,2728 143rd St SE,Mill Creek,WA,98012,549000,4,2.5,Mill Creek,2062,6098,1996,16,266,30,Pending,,,http://www.redfin.com/WA/Mill-Creek/2728-143rd-St-SE-98012/home/2848436,NWMLS,1265938,N,Y,47.8688073,-122.195001
PAST SALE,August-15-2014,Single Family Residential,16130 40th Dr SE,Bothell,WA,98012,624900,4,2.5,Mill Creek,2294,3920,2005,22,272,33,Pending,,,http://www.redfin.com/WA/Bothell/16130-40th-Dr-SE-98012/home/22960657,NWMLS,1262192,N,Y,47.8508535,-122.1780903
PAST SALE,September-13-2013,Townhouse,3432 164th Place SE,Bothell,WA,98012,479000,3,2.5,Mill Creek,1939,2155,2012,28,247,100,Pending,,,http://www.redfin.com/WA/Bothell/3432-164th-Pl-SE-98012/unit-18/home/21955038,NWMLS,1260159,N,Y,47.848552,-122.185381
PAST SALE,October-22-1992,Single Family Residential,15813 28th Dr SE,Mill Creek,WA,98012,690000,4,2.5,Mill Creek,2556,6534,1994,77,270,29,Pending,,,http://www.redfin.com/WA/Mill-Creek/15813-28th-Dr-SE-98012/home/2832610,NWMLS,1240289,N,Y,47.8542242,-122.1938092
MLS Listing,,Condo/Co-op,2009 196th St SE Unit A301,Bothell,WA,98012,325000,3,2.0,Thrashers Corner,1269,366781,2000,1,256,377,Active,,,http://www.redfin.com/WA/Bothell/2009-196th-St-SE-98012/unit-A301/home/2884405,NWMLS,1277912,N,Y,47.821656,-122.2047141
MLS Listing,,Single Family Residential,2021 172nd Place SE,Bothell,WA,98012,515000,4,2.5,Mays Pond,1912,10454,1977,1,269,,Active,April-21-2018 12:00 PM,April-21-2018 03:00 PM,http://www.redfin.com/WA/Bothell/2021-172nd-Pl-SE-98012/home/2774570,NWMLS,1275823,N,Y,47.8417548,-122.2048082
MLS Listing,,Condo/Co-op,18930 Bothell Everett Hwy Unit B 103,Bothell,WA,98012,259000,2,2.0,Thrashers Corner,939,,1998,1,276,383,Active,April-21-2018 01:00 PM,April-21-2018 04:00 PM,http://www.redfin.com/WA/Bothell/18930-Bothell-Everett-Hwy-98012/unit-B103/home/12104294,NWMLS,1268405,N,Y,47.8248163,-122.2090983
MLS Listing,,Single Family Residential,15912 26th Ave SE,Mill Creek,WA,98012,610000,3,1.75,Mill Creek,1952,9583,1987,1,313,27,Active,April-21-2018 01:00 PM,April-21-2018 03:00 PM,http://www.redfin.com/WA/Mill-Creek/15912-26th-Ave-SE-98012/home/2811135,NWMLS,1272758,N,Y,47.8534534,-122.1981905
